src_id,relation,dst_id,graph_version
restaurant:119585,HAS_CUISINE,cuisine:Cơm Tấm,kg_20260602_172448
restaurant:20058,HAS_CUISINE,cuisine:COMBO,kg_20260602_172448
restaurant:20000,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:76892,HAS_CUISINE,cuisine:Ưu Đãi Độc Quyền,kg_20260602_172448
restaurant:68175,HAS_CUISINE,"cuisine:Cơm Quê ""No Nê""",kg_20260602_172448
restaurant:8868,HAS_CUISINE,cuisine:Combo cùng coca,kg_20260602_172448
restaurant:130788,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:130031,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:24720,HAS_CUISINE,cuisine:Mua 1 Tặng 1,kg_20260602_172448
restaurant:57665,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:11020,HAS_CUISINE,cuisine:Siêu Tiệc Lương Về,kg_20260602_172448
restaurant:103124,HAS_CUISINE,cuisine:TOKBOKKI,kg_20260602_172448
restaurant:126401,HAS_CUISINE,cuisine:Gra.b food KHUYẾN MẠI Tặng C2. Tên:Happy food-Đồ ăn Hàn,kg_20260602_172448
restaurant:36157,HAS_CUISINE,cuisine:Menu,kg_20260602_172448
restaurant:9929,HAS_CUISINE,cuisine:CẶP ĐÔI ĂN Ý,kg_20260602_172448
restaurant:73467,HAS_CUISINE,cuisine:Gà Ri Tươi Ngon.,kg_20260602_172448
restaurant:31750,HAS_CUISINE,cuisine:Đồ Ăn Kèm,kg_20260602_172448
restaurant:109048,HAS_CUISINE,cuisine:❤️GỎI CUỐN HEALTHY❤️,kg_20260602_172448
restaurant:1255,HAS_CUISINE,cuisine:CƠM & MỲ,kg_20260602_172448
restaurant:53514,HAS_CUISINE,cuisine:Rau,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867932,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867933,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867935,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867936,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867937,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867938,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867939,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867940,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867941,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867942,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867943,kg_20260602_172448
