id,node_type,name,normalized_name,graph_version,data_version
menu_item:281321,MenuItem,Combo cơm đảo kim chi xá xíu - trứng ốp la - salad dưa chuột - 1 tắc sả,combo cơm đảo kim chi xá xíu - trứng ốp la - salad dưa chuột - 1 tắc sả,kg_20260602_172448,offline
menu_item:281324,MenuItem,Combo cơm gà đùi xào chua ngọt - chanh sả bạc hà,combo cơm gà đùi xào chua ngọt - chanh sả bạc hà,kg_20260602_172448,offline
menu_item:328625,MenuItem,Cơm Tôm chưa thịt luôc +Trứng ốp la+ Chè Dưỡng Nhan,cơm tôm chưa thịt luôc +trứng ốp la+ chè dưỡng nhan,kg_20260602_172448,offline
menu_item:344991,MenuItem,Cơm ba chỉ mắm quet+ trứng ốp la + chè dưỡng nhan,cơm ba chỉ mắm quet+ trứng ốp la + chè dưỡng nhan,kg_20260602_172448,offline
menu_item:344993,MenuItem,Cơm đậu phụ sốt rứ xuyên+ trứng ốp + chè dưỡng nhan,cơm đậu phụ sốt rứ xuyên+ trứng ốp + chè dưỡng nhan,kg_20260602_172448,offline
menu_item:1018221,MenuItem,Mỳ ý sốt bò băm+ Coca,mỳ ý sốt bò băm+ coca,kg_20260602_172448,offline
menu_item:1018226,MenuItem,Mỳ Ý sốt bò băm+ Nước táo ép,mỳ ý sốt bò băm+ nước táo ép,kg_20260602_172448,offline
menu_item:281327,MenuItem,Cơm ba chỉ rang mắm tép ớt hiểm - món mới,cơm ba chỉ rang mắm tép ớt hiểm - món mới,kg_20260602_172448,offline
menu_item:281328,MenuItem,Cơm bò lúc lắc kiểu thái,cơm bò lúc lắc kiểu thái,kg_20260602_172448,offline
menu_item:281329,MenuItem,Cơm ba chỉ rang sốt cay,cơm ba chỉ rang sốt cay,kg_20260602_172448,offline
menu_item:281330,MenuItem,Cơm sườn BBQ,cơm sườn bbq,kg_20260602_172448,offline
menu_item:281331,MenuItem,Cơm đảo kim chi xá xíu kèm trứng ốpla,cơm đảo kim chi xá xíu kèm trứng ốpla,kg_20260602_172448,offline
menu_item:281332,MenuItem,Cơm cá bông lau kho tộ - món mới,cơm cá bông lau kho tộ - món mới,kg_20260602_172448,offline
menu_item:281333,MenuItem,Cơm đảo kim chi đùi gà nướng sốt cay - món mới,cơm đảo kim chi đùi gà nướng sốt cay - món mới,kg_20260602_172448,offline
menu_item:281334,MenuItem,Cơm thịt xá xíu trứng ốp la,cơm thịt xá xíu trứng ốp la,kg_20260602_172448,offline
menu_item:281335,MenuItem,Cơm đậu phụ non sốt nấm,cơm đậu phụ non sốt nấm,kg_20260602_172448,offline
menu_item:281336,MenuItem,Cơm sườn xào tứ xuyên,cơm sườn xào tứ xuyên,kg_20260602_172448,offline
menu_item:281337,MenuItem,Cơm gà nướng sốt nấm,cơm gà nướng sốt nấm,kg_20260602_172448,offline
menu_item:281339,MenuItem,Cơm gà nướng sốt chanh leo,cơm gà nướng sốt chanh leo,kg_20260602_172448,offline
menu_item:281340,MenuItem,Cơm cánh gà sốt me cay,cơm cánh gà sốt me cay,kg_20260602_172448,offline
menu_item:281349,MenuItem,Cơm ba chỉ chưng mắm quẹt,cơm ba chỉ chưng mắm quẹt,kg_20260602_172448,offline
menu_item:281351,MenuItem,Cơm thịt viên x íu mại ( món mới ),cơm thịt viên x íu mại ( món mới ),kg_20260602_172448,offline
menu_item:281361,MenuItem,Cơm Ba chỉ luộc,cơm ba chỉ luộc,kg_20260602_172448,offline
menu_item:316339,MenuItem,Cơm cá Bông lau kho tộ,cơm cá bông lau kho tộ,kg_20260602_172448,offline
menu_item:333947,MenuItem,Cơm Đậu phụ non sốt tứ xuyên,cơm đậu phụ non sốt tứ xuyên,kg_20260602_172448,offline
menu_item:10679922,MenuItem,chè Mochi sắn nóng,chè mochi sắn nóng,kg_20260602_172448,offline
menu_item:11125832,MenuItem,Cơm ba chỉ rang cháy cạnh,cơm ba chỉ rang cháy cạnh,kg_20260602_172448,offline
menu_item:10575178,MenuItem,Cơm tấm sườn bì chả trứng,cơm tấm sườn bì chả trứng,kg_20260602_172448,offline
menu_item:10575179,MenuItem,Cơm tấm sườn chả trứng ốp la,cơm tấm sườn chả trứng ốp la,kg_20260602_172448,offline
menu_item:10575180,MenuItem,Cơm tấm sườn bì trứng,cơm tấm sườn bì trứng,kg_20260602_172448,offline
menu_item:10575181,MenuItem,Cơm tấm sườn trứng ốp la,cơm tấm sườn trứng ốp la,kg_20260602_172448,offline
menu_item:10575182,MenuItem,Cơm tấm sườn bì,cơm tấm sườn bì,kg_20260602_172448,offline
menu_item:10804612,MenuItem,Cơm tấm sườn bì chả,cơm tấm sườn bì chả,kg_20260602_172448,offline
menu_item:3484775,MenuItem,Bún chả lẫn suất nhỏ,bún chả lẫn suất nhỏ,kg_20260602_172448,offline
menu_item:3484776,MenuItem,Bún chả lẫn suất lớn,bún chả lẫn suất lớn,kg_20260602_172448,offline
menu_item:3484778,MenuItem,Bún chả miếng suất lớn,bún chả miếng suất lớn,kg_20260602_172448,offline
menu_item:3484779,MenuItem,Bún chả viên suất nhỏ,bún chả viên suất nhỏ,kg_20260602_172448,offline
menu_item:9286479,MenuItem,Cơm gà chiên xù popcorn sốt tuỳ chọn,cơm gà chiên xù popcorn sốt tuỳ chọn,kg_20260602_172448,offline
menu_item:9286480,MenuItem,Cơm ba chỉ bò Mỹ đặc biệt,cơm ba chỉ bò mỹ đặc biệt,kg_20260602_172448,offline
menu_item:9286481,MenuItem,Cơm đùi gà sốt Nhật teriyaki,cơm đùi gà sốt nhật teriyaki,kg_20260602_172448,offline
menu_item:9286482,MenuItem,Cơm đùi gà cỡ lớn sốt Nhật teriyaki,cơm đùi gà cỡ lớn sốt nhật teriyaki,kg_20260602_172448,offline
menu_item:9286483,MenuItem,Cơm đùi gà sốt cay Hàn Quốc,cơm đùi gà sốt cay hàn quốc,kg_20260602_172448,offline
menu_item:9286484,MenuItem,Cơm đùi gà cỡ lớn sốt cay Hàn Quốc,cơm đùi gà cỡ lớn sốt cay hàn quốc,kg_20260602_172448,offline
menu_item:9286485,MenuItem,Cơm đùi gà sốt mắm tỏi,cơm đùi gà sốt mắm tỏi,kg_20260602_172448,offline
menu_item:9286486,MenuItem,Cơm đùi gà cỡ lớn sốt mắm tỏi,cơm đùi gà cỡ lớn sốt mắm tỏi,kg_20260602_172448,offline
menu_item:9286487,MenuItem,Mỳ spaghetti bò băm,mỳ spaghetti bò băm,kg_20260602_172448,offline
menu_item:930293,MenuItem,Bún chả lẫn,bún chả lẫn,kg_20260602_172448,offline
menu_item:930305,MenuItem,Bún chả thịt miếng,bún chả thịt miếng,kg_20260602_172448,offline
menu_item:930306,MenuItem,Bún chả thịt băm,bún chả thịt băm,kg_20260602_172448,offline
menu_item:930309,MenuItem,Bún nem,bún nem,kg_20260602_172448,offline
menu_item:930315,MenuItem,Bún chả lẫn - nem,bún chả lẫn - nem,kg_20260602_172448,offline
menu_item:930479,MenuItem,Bún chả thịt miếng - nem,bún chả thịt miếng - nem,kg_20260602_172448,offline
menu_item:930481,MenuItem,Bún chả thịt băm - nem,bún chả thịt băm - nem,kg_20260602_172448,offline
menu_item:930483,MenuItem,Bún chả lẫn - nem - coca chai,bún chả lẫn - nem - coca chai,kg_20260602_172448,offline
menu_item:930484,MenuItem,Bún chả thịt miếng - nem - coca chai,bún chả thịt miếng - nem - coca chai,kg_20260602_172448,offline
menu_item:930488,MenuItem,Bún chả thịt băm - nem - coca chai,bún chả thịt băm - nem - coca chai,kg_20260602_172448,offline
menu_item:930490,MenuItem,Bún nem - coca chai,bún nem - coca chai,kg_20260602_172448,offline
menu_item:12261418,MenuItem,Cơm Trắng Đùi Gà Rán - Sale,cơm trắng đùi gà rán - sale,kg_20260602_172448,offline
menu_item:12261420,MenuItem,Cơm Trắng Cánh Gà Rán - Sale,cơm trắng cánh gà rán - sale,kg_20260602_172448,offline
menu_item:12261423,MenuItem,Cơm Trắng Gà Viên Chiên - Sale,cơm trắng gà viên chiên - sale,kg_20260602_172448,offline
menu_item:12233200,MenuItem,Cơm Đảo Gà Viên Chiên,cơm đảo gà viên chiên,kg_20260602_172448,offline
menu_item:12233202,MenuItem,Cơm Trắng Cánh Gà Rán,cơm trắng cánh gà rán,kg_20260602_172448,offline
menu_item:12233201,MenuItem,Cơm Trắng Đùi Gà Rán,cơm trắng đùi gà rán,kg_20260602_172448,offline
menu_item:12233203,MenuItem,Cơm Trắng Gà Viên Chiên,cơm trắng gà viên chiên,kg_20260602_172448,offline
menu_item:12233207,MenuItem,Mì Cánh Gà Rán,mì cánh gà rán,kg_20260602_172448,offline
menu_item:12233206,MenuItem,Mì Đùi Gà Rán,mì đùi gà rán,kg_20260602_172448,offline
menu_item:12233205,MenuItem,Mì Gà Viên Chiên,mì gà viên chiên,kg_20260602_172448,offline
menu_item:12233204,MenuItem,Mì Rau Củ,mì rau củ,kg_20260602_172448,offline
menu_item:12233209,MenuItem,Cánh Gà Rán,cánh gà rán,kg_20260602_172448,offline
menu_item:12233208,MenuItem,Đùi Gà rán,đùi gà rán,kg_20260602_172448,offline
menu_item:12233210,MenuItem,Gà Viên Chiên,gà viên chiên,kg_20260602_172448,offline
menu_item:12233211,MenuItem,Khoai Tây Chiên,khoai tây chiên,kg_20260602_172448,offline
menu_item:12233212,MenuItem,Khoai Lang Chiên,khoai lang chiên,kg_20260602_172448,offline
menu_item:9940365,MenuItem,Cơm gà sốt Thái,cơm gà sốt thái,kg_20260602_172448,offline
menu_item:9940366,MenuItem,Cơm gà sốt bbq,cơm gà sốt bbq,kg_20260602_172448,offline
menu_item:9940368,MenuItem,Cơm gà sốt chua ngọt,cơm gà sốt chua ngọt,kg_20260602_172448,offline
menu_item:9940369,MenuItem,Cơm gà sốt mắm tỏi,cơm gà sốt mắm tỏi,kg_20260602_172448,offline
menu_item:9940370,MenuItem,Cơm gà sốt mật ong,cơm gà sốt mật ong,kg_20260602_172448,offline
menu_item:9940371,MenuItem,Cơm gà sốt me cay,cơm gà sốt me cay,kg_20260602_172448,offline
menu_item:9940373,MenuItem,Cơm gà sốt roti,cơm gà sốt roti,kg_20260602_172448,offline
menu_item:9940374,MenuItem,Cơm gà sốt tiêu đen,cơm gà sốt tiêu đen,kg_20260602_172448,offline
