store_id,category_type,category_value,source_name
28819,menu_category,OTHER BEVERAGES,menu_item_from_top5_json
28819,menu_category,MÓN THÊM TUYỆT ĐỈNH,menu_item_from_top5_json
28819,menu_category,BÁNH MẶN,menu_item_from_top5_json
28819,menu_category,BÁNH NGỌT,menu_item_from_top5_json
78552,primary,Cà Phê/Trà,store_from_top5_json
78552,google_type,Quầy cà phê,google_maps_unique
78552,google_type,Quán cà phê,google_maps_unique
78552,foody_category,Café/Dessert,foody_hust_places
78552,foody_cuisine,Món Việt,foody_hust_places
78552,foody_audience,Cặp đôi,foody_hust_places
78552,foody_audience,Nhóm hội,foody_hust_places
78552,foody_audience,Giới văn phòng,foody_hust_places
78552,menu_category,Cafe,menu_item_from_top5_json
78552,menu_category,Cafe Máy,menu_item_from_top5_json
78552,menu_category,Cafe Phin,menu_item_from_top5_json
78552,menu_category,Trà,menu_item_from_top5_json
78552,menu_category,Đá Xay,menu_item_from_top5_json
78552,menu_category,Nước Ép,menu_item_from_top5_json
78552,menu_category,Sữa Chua,menu_item_from_top5_json
78552,menu_category,Trà Nóng Mùa Đông,menu_item_from_top5_json
73374,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
73374,google_type,Chùa phật giáo,google_maps_unique
73374,google_type,Chùa,google_maps_unique
73374,google_type,Điểm thu hút khách du lịch,google_maps_unique
73374,foody_category,Shop Online,foody_hust_places
73374,foody_category,Giao cơm văn phòng,foody_hust_places
73374,foody_cuisine,Món Bắc,foody_hust_places
73374,menu_category,Đồ Ăn,menu_item_from_top5_json
9606,primary,Cơm/Cơm tấm,store_from_top5_json
9606,google_type,Nhà hàng,google_maps_unique
9606,menu_category,Cơm Siêu Tiết Kiệm,menu_item_from_top5_json
9606,menu_category,CƠM VIP,menu_item_from_top5_json
9606,menu_category,COMBO,menu_item_from_top5_json
9606,menu_category,Món Thêm,menu_item_from_top5_json
9606,menu_category,Đồ Uống,menu_item_from_top5_json
9606,menu_category,Combo cùng Coca,menu_item_from_top5_json
125252,primary,Cà Phê/Trà,store_from_top5_json
125252,google_type,Quán cà phê,google_maps_unique
125252,foody_category,Café/Dessert,foody_hust_places
125252,foody_cuisine,Món Việt,foody_hust_places
125252,foody_audience,Cặp đôi,foody_hust_places
125252,foody_audience,Nhóm hội,foody_hust_places
125252,menu_category,Cold,menu_item_from_top5_json
125252,menu_category,Milk Tea,menu_item_from_top5_json
125252,menu_category,Yogurt,menu_item_from_top5_json
125252,menu_category,Coffee,menu_item_from_top5_json
125252,menu_category,Nước Ép,menu_item_from_top5_json
125252,menu_category,Love,menu_item_from_top5_json
125252,menu_category,Snack,menu_item_from_top5_json
103271,primary,Ẩm thực quốc tế,store_from_top5_json
103271,google_type,Nhà hàng Hàn Quốc,google_maps_unique
103271,foody_category,Quán ăn,foody_hust_places
103271,menu_category,"Korean chicken, 치킨",menu_item_from_top5_json
103271,menu_category,Tokbokki,menu_item_from_top5_json
103271,menu_category,"Cơm & mỳ ý, korean ramen",menu_item_from_top5_json
103271,menu_category,Tokk & Khoai tây chiên,menu_item_from_top5_json
103271,menu_category,Lẩu,menu_item_from_top5_json
103271,menu_category,Đồ uống,menu_item_from_top5_json
4633,primary,Trà sữa,store_from_top5_json
4633,google_type,Trà trân châu,google_maps_unique
4633,foody_category,CafÃ©/Dessert,foody_hust_places
4633,foody_cuisine,MÃ³n Trung Hoa,foody_hust_places
4633,foody_audience,Sinh viÃªn,foody_hust_places
4633,foody_audience,Cáº·p Ä‘Ã´i,foody_hust_places
4633,foody_audience,NhÃ³m há»™i,foody_hust_places
4633,foody_audience,Giá»›i vÄƒn phÃ²ng,foody_hust_places
4633,wifi,k cÃ³ wifi::thoidodavcc,foody_hust_places
4633,menu_category,Best Seller,menu_item_from_top5_json
4633,menu_category,Sữa Tươi Trân Châu Đường Đen,menu_item_from_top5_json
4633,menu_category,Trà Sữa,menu_item_from_top5_json
4633,menu_category,Trà Sữa Tươi,menu_item_from_top5_json
4633,menu_category,Trà Sữa Tươi Nhân Hoa Quả,menu_item_from_top5_json
4633,menu_category,Special Drink,menu_item_from_top5_json
4633,menu_category,Trà Hoa Quả,menu_item_from_top5_json
4633,menu_category,Trà Kem Mặn,menu_item_from_top5_json
4633,menu_category,Trà Nguyên Chất,menu_item_from_top5_json
4633,menu_category,Cafe,menu_item_from_top5_json
4633,menu_category,Fast Food,menu_item_from_top5_json
4633,menu_category,Matcha Series,menu_item_from_top5_json
4633,menu_category,Khoai Lang Tím Series,menu_item_from_top5_json
4633,menu_category,Topping Lover,menu_item_from_top5_json
62733,primary,Cà Phê/Trà,store_from_top5_json
62733,google_type,Quán cà phê,google_maps_unique
62733,foody_category,CafÃ©/Dessert,foody_hust_places
62733,foody_cuisine,MÃ³n Ã�,foody_hust_places
62733,foody_audience,Cáº·p Ä‘Ã´i,foody_hust_places
62733,foody_audience,NhÃ³m há»™i,foody_hust_places
62733,wifi,swan tea::12345678,foody_hust_places
62733,menu_category,Trà Hoa Quả,menu_item_from_top5_json
62733,menu_category,Sữa Tươi,menu_item_from_top5_json
62733,menu_category,Sinh Tố,menu_item_from_top5_json
62733,menu_category,Nước Ép Theo Mùa,menu_item_from_top5_json
62733,menu_category,Cafe,menu_item_from_top5_json
62733,menu_category,Soda,menu_item_from_top5_json
62733,menu_category,Đá xay,menu_item_from_top5_json
62733,menu_category,Trà Sữa,menu_item_from_top5_json
